timestamp,source_node,target_node,relationship,protocol,port,source_tier,target_tier,privilege_delta,bytes_transferred,duration_sec,failed_auth_count,is_off_hours,is_lateral_movement,attack_campaign
2026-08-01 08:01:00,ws-dev-03,edge-dmz-proxy,HTTP_PROXY,HTTPS,443,3,2,1,8109.0,8.6,0,1,0,None
2026-08-01 08:04:00,ws-ops-02,edge-dmz-proxy,HTTP_PROXY,HTTPS,443,3,2,1,3560.2,0.94,0,1,0,None
2026-08-01 08:05:00,ws-exec-01,bastion-rdp-01,CAN_RDP_TO,RDP,3389,3,1,2,10184.4,2.52,0,1,0,None
2026-08-01 08:06:00,ws-exec-02,srv-file-smb,SMB_SHARE_MOUNT,SMB,445,3,1,2,4218.3,3.35,0,1,0,None
2026-08-01 08:06:00,ws-exec-04,edge-dmz-proxy,HTTP_PROXY,HTTPS,443,3,2,1,2087.4,10.59,0,1,0,None
2026-08-01 08:06:00,ws-finance-01,edge-dmz-proxy,HTTP_PROXY,HTTPS,443,3,2,1,3459.1,57.35,0,1,0,None
2026-08-01 08:07:00,ws-dev-03,edge-dmz-proxy,HTTP_PROXY,HTTPS,443,3,2,1,410.4,1.54,0,1,0,None
2026-08-01 08:07:00,ws-exec-01,ws-exec-02,LAN_PEER_CONNECTION,SMB/RPC,445,3,3,0,12685.0,7.24,0,1,0,None
2026-08-01 08:08:00,ws-dev-03,bastion-ssh-01,CAN_SSH_TO,SSH,22,3,1,2,934.5,10.69,0,1,0,None
2026-08-01 08:09:00,ws-dev-02,srv-git-enterprise,GIT_SSH_ACCESS,SSH,22,3,1,2,71268.3,10.17,0,1,0,None
2026-08-01 08:12:00,ws-ops-04,srv-file-smb,SMB_SHARE_MOUNT,SMB,445,3,1,2,18374.3,10.45,0,1,0,None
2026-08-01 08:13:00,ws-hr-01,ws-hr-02,LAN_PEER_CONNECTION,SMB/RPC,445,3,3,0,1736.1,12.08,0,1,0,None
2026-08-01 08:14:00,ws-exec-02,edge-dmz-proxy,HTTP_PROXY,HTTPS,443,3,2,1,1583.3,24.88,0,1,0,None
2026-08-01 08:16:00,ws-ops-02,sec-siem-collector,HTTPS_MGMT,TCP,443,3,1,2,7596.9,13.75,0,1,0,None
2026-08-01 08:17:00,ws-sales-01,ws-sales-02,LAN_PEER_CONNECTION,SMB/RPC,445,3,3,0,13165.5,1.66,0,1,0,None
2026-08-01 08:18:00,ws-finance-05,edge-dmz-proxy,HTTP_PROXY,HTTPS,443,3,2,1,23227.0,0.85,0,1,0,None
2026-08-01 08:19:00,ws-exec-04,srv-file-smb,SMB_SHARE_MOUNT,SMB,445,3,1,2,297.4,21.29,0,1,0,None
2026-08-01 08:22:00,ws-dev-04,srv-git-enterprise,GIT_SSH_ACCESS,SSH,22,3,1,2,18720.5,6.21,0,1,0,None
2026-08-01 08:22:00,ws-finance-05,bastion-rdp-01,CAN_RDP_TO,RDP,3389,3,1,2,989.9,15.24,0,1,0,None
2026-08-01 08:23:00,ws-finance-06,edge-dmz-proxy,HTTP_PROXY,HTTPS,443,3,2,1,12233.4,16.55,0,1,0,None
2026-08-01 08:27:00,ws-ops-04,srv-file-smb,SMB_SHARE_MOUNT,SMB,445,3,1,2,4356.3,6.27,0,1,0,None
2026-08-01 08:28:00,ws-ops-01,ws-ops-02,LAN_PEER_CONNECTION,SMB/RPC,445,3,3,0,34624.3,1.4,0,1,0,None
2026-08-01 08:31:00,ws-hr-02,srv-file-smb,SMB_SHARE_MOUNT,SMB,445,3,1,2,2963.3,11.58,0,1,0,None
2026-08-01 08:31:00,ws-dev-01,bastion-ssh-01,CAN_SSH_TO,SSH,22,3,1,2,916.1,22.11,0,1,0,None
2026-08-01 08:31:00,ws-finance-01,srv-file-smb,SMB_SHARE_MOUNT,SMB,445,3,1,2,4895.6,4.34,0,1,0,None
2026-08-01 08:32:00,ws-hr-01,edge-dmz-proxy,HTTP_PROXY,HTTPS,443,3,2,1,14435.8,4.93,0,1,0,None
2026-08-01 08:34:00,ws-exec-02,ws-exec-03,LAN_PEER_CONNECTION,SMB/RPC,445,3,3,0,40144.7,15.84,0,1,0,None
2026-08-01 08:34:00,ws-dev-05,srv-git-enterprise,GIT_SSH_ACCESS,SSH,22,3,1,2,11515.9,45.51,0,1,0,None
2026-08-01 08:35:00,ws-finance-05,ws-finance-06,LAN_PEER_CONNECTION,SMB/RPC,445,3,3,0,511.0,7.89,0,1,0,None
2026-08-01 08:36:00,ws-hr-02,edge-dmz-proxy,HTTP_PROXY,HTTPS,443,3,2,1,12181.5,2.46,0,1,0,None
2026-08-01 08:36:00,ws-ops-01,ws-ops-02,LAN_PEER_CONNECTION,SMB/RPC,445,3,3,0,120232.0,4.95,0,1,0,None
2026-08-01 08:37:00,ws-dev-06,bastion-ssh-01,CAN_SSH_TO,SSH,22,3,1,2,3431.8,3.47,0,1,0,None
2026-08-01 08:38:00,ws-finance-06,bastion-rdp-01,CAN_RDP_TO,RDP,3389,3,1,2,6212.6,28.86,0,1,0,None
2026-08-01 08:38:00,dc-corp-primary,dc-corp-backup,AD_REPLICATION,TCP,443,0,0,0,143.4,13.97,0,1,0,None
2026-08-01 08:38:00,ws-exec-01,ws-exec-02,LAN_PEER_CONNECTION,SMB/RPC,445,3,3,0,78086.6,7.1,0,1,0,None
2026-08-01 08:40:00,bastion-rdp-01,swift-pay-gateway,PRIVILEGED_RDP,TCP,443,1,0,1,1946.5,27.94,0,1,0,None
2026-08-01 08:40:00,ws-finance-02,ws-finance-03,LAN_PEER_CONNECTION,SMB/RPC,445,3,3,0,11147.7,17.78,0,1,0,None
2026-08-01 08:42:00,ws-finance-03,srv-file-smb,SMB_SHARE_MOUNT,SMB,445,3,1,2,951.0,18.41,0,1,0,None
2026-08-01 08:43:00,ws-dev-01,ws-dev-02,LAN_PEER_CONNECTION,SMB/RPC,445,3,3,0,100472.0,7.83,0,1,0,None
2026-08-01 08:44:00,ws-ops-01,ws-ops-02,LAN_PEER_CONNECTION,SMB/RPC,445,3,3,0,528.2,3.96,0,1,0,None
2026-08-01 08:45:00,ws-exec-02,srv-file-smb,SMB_SHARE_MOUNT,SMB,445,3,1,2,11085.2,27.38,0,1,0,None
2026-08-01 08:45:00,ws-ops-01,sec-siem-collector,HTTPS_MGMT,TCP,443,3,1,2,3730.9,6.8,0,1,0,None
2026-08-01 08:46:00,ws-sales-03,srv-file-smb,SMB_SHARE_MOUNT,SMB,445,3,1,2,11935.4,4.77,0,1,0,None
2026-08-01 08:47:00,ws-finance-06,bastion-rdp-01,CAN_RDP_TO,RDP,3389,3,1,2,6220.4,48.16,0,1,0,None
2026-08-01 08:48:00,ws-ops-01,srv-file-smb,SMB_SHARE_MOUNT,SMB,445,3,1,2,3488.9,3.97,1,1,0,None
2026-08-01 08:51:00,ws-sales-01,ws-sales-02,LAN_PEER_CONNECTION,SMB/RPC,445,3,3,0,114.0,4.53,0,1,0,None
2026-08-01 08:56:00,ws-finance-03,srv-file-smb,SMB_SHARE_MOUNT,SMB,445,3,1,2,6002.1,14.73,0,1,0,None
2026-08-01 08:56:00,ws-ops-03,sec-siem-collector,HTTPS_MGMT,TCP,443,3,1,2,7282.7,17.51,0,1,0,None
2026-08-01 08:57:00,ws-exec-03,edge-dmz-proxy,HTTP_PROXY,HTTPS,443,3,2,1,49033.1,29.09,0,1,0,None
2026-08-01 08:58:00,ws-ops-04,edge-dmz-proxy,HTTP_PROXY,HTTPS,443,3,2,1,4572.6,1.91,0,1,0,None
2026-08-01 09:00:00,ws-sales-03,ws-sales-04,LAN_PEER_CONNECTION,SMB/RPC,445,3,3,0,6345.5,3.08,0,1,0,None
2026-08-01 09:03:00,ws-ops-01,sec-siem-collector,HTTPS_MGMT,TCP,443,3,1,2,13075.7,2.17,0,1,0,None
